GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-login,com.fiap.ms.login.infrastructure.database.entities,JpaUserEntity,73,416,49,33,0,22,40,28,0,27
ms-login,com.fiap.ms.login.infrastructure.database.implementations,UserImpl,5,156,0,0,0,31,1,8,1,8
ms-login,com.fiap.ms.login.domain.enums,RoleEnum,1,43,1,1,0,8,1,3,0,3
ms-login,com.fiap.ms.login.entrypoint.controllers.mappers,UserMapper,3,68,0,2,1,25,1,5,1,4
ms-login,com.fiap.ms.login.application.usecase.user.implementation,GetUserByIdUsecaseImpl,0,33,0,4,0,8,0,4,0,2
ms-login,com.fiap.ms.login.application.usecase.user.implementation,CreateUserUsecaseImpl,0,42,0,4,0,11,0,4,0,2
ms-login,com.fiap.ms.login.application.usecase.user.implementation,DeleteUserUsecaseImpl,0,45,0,8,0,11,0,6,0,2
ms-login,com.fiap.ms.login.application.usecase.user.implementation,UpdateUserUsecaseImpl,0,66,1,9,0,15,1,6,0,2
ms-login,com.fiap.ms.login.application.usecase.user.implementation,GetUsersUsecaseImpl,0,28,0,2,0,8,0,3,0,2
ms-login,com.fiap.ms.login.domain.model,UserDomain,0,107,0,0,0,44,0,19,0,19
ms-login,com.fiap.ms.login.entrypoint.controllers.handler,ApiError,153,37,32,0,0,6,23,6,7,6
ms-login,com.fiap.ms.login.entrypoint.controllers.handler,GlobalExceptionHandler,4,136,2,2,0,31,2,8,0,8
ms-login,com.fiap.ms.login.entrypoint.controllers.dto,UserDtoResponse,0,24,0,0,0,1,0,1,0,1
ms-login,com.fiap.ms.login.entrypoint.controllers.dto,UserDtoRequest,0,21,0,0,0,1,0,1,0,1
ms-login,com.fiap.ms.login.entrypoint.controllers.dto,LoginResponse,0,15,0,0,0,1,0,1,0,1
ms-login,com.fiap.ms.login.entrypoint.controllers.dto,LoginRequestDTO,0,9,0,0,0,1,0,1,0,1
ms-login,com.fiap.ms.login.domain.exceptions,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
ms-login,com.fiap.ms.login.domain.exceptions,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
ms-login,com.fiap.ms.login.domain.exceptions,UserHasException,0,4,0,0,0,2,0,1,0,1
ms-login,com.fiap.ms.login.infrastructure.password,BcryptPasswordEncoderImpl,0,11,0,0,0,4,0,2,0,2
ms-login,com.fiap.ms.login.entrypoint.controllers,AuthController,0,67,0,0,0,14,0,2,0,2
ms-login,com.fiap.ms.login.entrypoint.controllers,UserController,4,106,2,2,0,26,2,8,0,8
